Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-16051,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-02,
Vertical Position,-4.880E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,3.310E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,3.310E-03,
Firmware,V1.26,
Time,23-Aug-19 06:23:45,
Mode,Detail,
Waveform Data,
3.210000e-03,1.88e-02,
3.210200e-03,1.88e-02,
3.210400e-03,1.92e-02,
3.210600e-03,1.92e-02,
3.210800e-03,1.96e-02,
3.211000e-03,1.84e-02,
3.211200e-03,1.88e-02,
3.211400e-03,1.92e-02,
3.211600e-03,1.92e-02,
3.211800e-03,1.88e-02,
3.212000e-03,1.88e-02,
3.212200e-03,1.92e-02,
3.212400e-03,1.88e-02,
3.212600e-03,1.92e-02,
3.212800e-03,1.92e-02,
3.213000e-03,1.92e-02,
3.213200e-03,1.92e-02,
3.213400e-03,1.84e-02,
3.213600e-03,1.92e-02,
3.213800e-03,1.88e-02,
3.214000e-03,1.92e-02,
3.214200e-03,1.88e-02,
3.214400e-03,1.84e-02,
3.214600e-03,1.88e-02,
3.214800e-03,1.88e-02,
3.215000e-03,1.88e-02,
3.215200e-03,1.92e-02,
3.215400e-03,1.84e-02,
3.215600e-03,1.96e-02,
3.215800e-03,1.88e-02,
3.216000e-03,1.92e-02,
3.216200e-03,1.88e-02,
3.216400e-03,1.88e-02,
3.216600e-03,1.84e-02,
3.216800e-03,1.92e-02,
3.217000e-03,1.88e-02,
3.217200e-03,1.92e-02,
3.217400e-03,1.84e-02,
3.217600e-03,1.92e-02,
3.217800e-03,1.88e-02,
3.218000e-03,1.84e-02,
3.218200e-03,1.88e-02,
3.218400e-03,1.92e-02,
3.218600e-03,1.92e-02,
3.218800e-03,1.88e-02,
3.219000e-03,1.88e-02,
3.219200e-03,1.88e-02,
3.219400e-03,1.92e-02,
3.219600e-03,1.92e-02,
3.219800e-03,1.88e-02,
3.220000e-03,1.88e-02,
3.220200e-03,1.92e-02,
3.220400e-03,1.88e-02,
3.220600e-03,1.92e-02,
3.220800e-03,1.88e-02,
3.221000e-03,1.88e-02,
3.221200e-03,1.96e-02,
3.221400e-03,1.92e-02,
3.221600e-03,1.92e-02,
3.221800e-03,1.88e-02,
3.222000e-03,1.88e-02,
3.222200e-03,1.92e-02,
3.222400e-03,1.96e-02,
3.222600e-03,1.88e-02,
3.222800e-03,1.92e-02,
3.223000e-03,1.88e-02,
3.223200e-03,1.92e-02,
3.223400e-03,1.84e-02,
3.223600e-03,1.92e-02,
3.223800e-03,1.88e-02,
3.224000e-03,1.88e-02,
3.224200e-03,1.88e-02,
3.224400e-03,1.84e-02,
3.224600e-03,1.84e-02,
3.224800e-03,1.92e-02,
3.225000e-03,1.92e-02,
3.225200e-03,1.92e-02,
3.225400e-03,1.88e-02,
3.225600e-03,1.88e-02,
3.225800e-03,1.88e-02,
3.226000e-03,1.92e-02,
3.226200e-03,1.88e-02,
3.226400e-03,1.92e-02,
3.226600e-03,1.92e-02,
3.226800e-03,1.92e-02,
3.227000e-03,1.96e-02,
3.227200e-03,1.92e-02,
3.227400e-03,1.92e-02,
3.227600e-03,1.96e-02,
3.227800e-03,1.88e-02,
3.228000e-03,1.88e-02,
3.228200e-03,1.92e-02,
3.228400e-03,1.92e-02,
3.228600e-03,1.88e-02,
3.228800e-03,1.92e-02,
3.229000e-03,1.92e-02,
3.229200e-03,1.92e-02,
3.229400e-03,1.88e-02,
3.229600e-03,1.92e-02,
3.229800e-03,1.88e-02,
3.230000e-03,1.84e-02,
3.230200e-03,1.88e-02,
3.230400e-03,1.96e-02,
3.230600e-03,1.96e-02,
3.230800e-03,1.96e-02,
3.231000e-03,1.92e-02,
3.231200e-03,1.96e-02,
3.231400e-03,1.92e-02,
3.231600e-03,1.88e-02,
3.231800e-03,1.92e-02,
3.232000e-03,1.88e-02,
3.232200e-03,1.84e-02,
3.232400e-03,1.88e-02,
3.232600e-03,1.84e-02,
3.232800e-03,1.88e-02,
3.233000e-03,1.92e-02,
3.233200e-03,1.84e-02,
3.233400e-03,1.96e-02,
3.233600e-03,1.92e-02,
3.233800e-03,1.92e-02,
3.234000e-03,1.88e-02,
3.234200e-03,1.88e-02,
3.234400e-03,1.88e-02,
3.234600e-03,1.88e-02,
3.234800e-03,1.88e-02,
3.235000e-03,1.88e-02,
3.235200e-03,1.88e-02,
3.235400e-03,1.88e-02,
3.235600e-03,1.92e-02,
3.235800e-03,1.92e-02,
3.236000e-03,1.88e-02,
3.236200e-03,1.92e-02,
3.236400e-03,1.92e-02,
3.236600e-03,1.92e-02,
3.236800e-03,1.92e-02,
3.237000e-03,1.88e-02,
3.237200e-03,1.88e-02,
3.237400e-03,1.88e-02,
3.237600e-03,1.88e-02,
3.237800e-03,1.96e-02,
3.238000e-03,1.96e-02,
3.238200e-03,1.96e-02,
3.238400e-03,1.92e-02,
3.238600e-03,1.88e-02,
3.238800e-03,1.88e-02,
3.239000e-03,1.92e-02,
3.239200e-03,1.96e-02,
3.239400e-03,1.92e-02,
3.239600e-03,1.92e-02,
3.239800e-03,1.92e-02,
3.240000e-03,1.92e-02,
3.240200e-03,1.92e-02,
3.240400e-03,1.92e-02,
3.240600e-03,1.92e-02,
3.240800e-03,1.92e-02,
3.241000e-03,1.88e-02,
3.241200e-03,1.92e-02,
3.241400e-03,1.96e-02,
3.241600e-03,1.88e-02,
3.241800e-03,1.96e-02,
3.242000e-03,1.88e-02,
3.242200e-03,1.88e-02,
3.242400e-03,1.88e-02,
3.242600e-03,1.92e-02,
3.242800e-03,1.92e-02,
3.243000e-03,1.88e-02,
3.243200e-03,1.92e-02,
3.243400e-03,1.92e-02,
3.243600e-03,1.88e-02,
3.243800e-03,1.96e-02,
3.244000e-03,1.88e-02,
3.244200e-03,1.92e-02,
3.244400e-03,1.96e-02,
3.244600e-03,1.88e-02,
3.244800e-03,1.92e-02,
3.245000e-03,1.88e-02,
3.245200e-03,1.96e-02,
3.245400e-03,1.88e-02,
3.245600e-03,1.88e-02,
3.245800e-03,1.96e-02,
3.246000e-03,1.92e-02,
3.246200e-03,1.88e-02,
3.246400e-03,1.88e-02,
3.246600e-03,1.96e-02,
3.246800e-03,1.88e-02,
3.247000e-03,1.96e-02,
3.247200e-03,1.92e-02,
3.247400e-03,1.96e-02,
3.247600e-03,1.88e-02,
3.247800e-03,1.92e-02,
3.248000e-03,1.88e-02,
3.248200e-03,1.92e-02,
3.248400e-03,1.96e-02,
3.248600e-03,1.92e-02,
3.248800e-03,1.92e-02,
