Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-3758,
Trigger Level,4.245E+00,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-02,
Vertical Position,-5.320E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-04,
Horizontal Position,8.514E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-06,
Horizontal Old Scale,2.000E-04,
Horizontal Old Position,8.514E-03,
Firmware,V1.26,
Time,22-Aug-19 05:52:47,
Mode,Detail,
Waveform Data,
7.514000e-03,4.48e-02,
7.516000e-03,4.52e-02,
7.518000e-03,4.56e-02,
7.520000e-03,4.92e-02,
7.522000e-03,4.88e-02,
7.524000e-03,4.48e-02,
7.526000e-03,4.44e-02,
7.528000e-03,5.28e-02,
7.530000e-03,4.76e-02,
7.532000e-03,4.48e-02,
7.534000e-03,4.36e-02,
7.536000e-03,5.56e-02,
7.538000e-03,4.40e-02,
7.540000e-03,4.28e-02,
7.542000e-03,5.32e-02,
7.544000e-03,3.80e-02,
7.546000e-03,5.48e-02,
7.548000e-03,5.04e-02,
7.550000e-03,4.68e-02,
7.552000e-03,5.32e-02,
7.554000e-03,5.28e-02,
7.556000e-03,4.32e-02,
7.558000e-03,4.04e-02,
7.560000e-03,4.76e-02,
7.562000e-03,4.28e-02,
7.564000e-03,4.04e-02,
7.566000e-03,4.28e-02,
7.568000e-03,4.04e-02,
7.570000e-03,3.92e-02,
7.572000e-03,4.52e-02,
7.574000e-03,3.76e-02,
7.576000e-03,3.96e-02,
7.578000e-03,3.96e-02,
7.580000e-03,3.56e-02,
7.582000e-03,3.04e-02,
7.584000e-03,2.64e-02,
7.586000e-03,2.68e-02,
7.588000e-03,3.00e-02,
7.590000e-03,3.32e-02,
7.592000e-03,3.20e-02,
7.594000e-03,2.68e-02,
7.596000e-03,2.68e-02,
7.598000e-03,2.60e-02,
7.600000e-03,2.60e-02,
7.602000e-03,2.44e-02,
7.604000e-03,2.24e-02,
7.606000e-03,2.28e-02,
7.608000e-03,2.36e-02,
7.610000e-03,2.24e-02,
7.612000e-03,2.28e-02,
7.614000e-03,2.36e-02,
7.616000e-03,2.20e-02,
7.618000e-03,2.16e-02,
7.620000e-03,2.04e-02,
7.622000e-03,2.08e-02,
7.624000e-03,2.12e-02,
7.626000e-03,2.00e-02,
7.628000e-03,2.04e-02,
7.630000e-03,2.00e-02,
7.632000e-03,2.00e-02,
7.634000e-03,2.04e-02,
7.636000e-03,1.92e-02,
7.638000e-03,1.96e-02,
7.640000e-03,1.96e-02,
7.642000e-03,1.88e-02,
7.644000e-03,2.00e-02,
7.646000e-03,1.92e-02,
7.648000e-03,1.84e-02,
7.650000e-03,1.88e-02,
7.652000e-03,1.88e-02,
7.654000e-03,1.88e-02,
7.656000e-03,1.88e-02,
7.658000e-03,1.84e-02,
7.660000e-03,1.84e-02,
7.662000e-03,1.88e-02,
7.664000e-03,1.84e-02,
7.666000e-03,1.80e-02,
7.668000e-03,1.84e-02,
7.670000e-03,1.84e-02,
7.672000e-03,1.80e-02,
7.674000e-03,1.88e-02,
7.676000e-03,1.84e-02,
7.678000e-03,1.84e-02,
7.680000e-03,1.80e-02,
7.682000e-03,1.84e-02,
7.684000e-03,1.80e-02,
7.686000e-03,1.76e-02,
7.688000e-03,1.80e-02,
7.690000e-03,1.80e-02,
7.692000e-03,1.80e-02,
7.694000e-03,1.84e-02,
7.696000e-03,1.76e-02,
7.698000e-03,1.76e-02,
7.700000e-03,1.80e-02,
7.702000e-03,1.80e-02,
7.704000e-03,1.76e-02,
7.706000e-03,1.76e-02,
7.708000e-03,1.80e-02,
7.710000e-03,1.76e-02,
7.712000e-03,1.76e-02,
7.714000e-03,1.72e-02,
7.716000e-03,1.80e-02,
7.718000e-03,1.76e-02,
7.720000e-03,1.72e-02,
7.722000e-03,1.72e-02,
7.724000e-03,1.72e-02,
7.726000e-03,1.76e-02,
7.728000e-03,1.76e-02,
7.730000e-03,1.72e-02,
7.732000e-03,1.76e-02,
7.734000e-03,1.76e-02,
7.736000e-03,1.76e-02,
7.738000e-03,1.76e-02,
7.740000e-03,1.76e-02,
7.742000e-03,1.76e-02,
7.744000e-03,1.72e-02,
7.746000e-03,1.72e-02,
7.748000e-03,1.76e-02,
7.750000e-03,1.76e-02,
7.752000e-03,1.76e-02,
7.754000e-03,1.76e-02,
7.756000e-03,1.72e-02,
7.758000e-03,1.72e-02,
7.760000e-03,1.76e-02,
7.762000e-03,1.72e-02,
7.764000e-03,1.72e-02,
7.766000e-03,1.72e-02,
7.768000e-03,1.68e-02,
7.770000e-03,1.72e-02,
7.772000e-03,1.72e-02,
7.774000e-03,1.72e-02,
7.776000e-03,1.72e-02,
7.778000e-03,1.68e-02,
7.780000e-03,1.72e-02,
7.782000e-03,1.72e-02,
7.784000e-03,1.72e-02,
7.786000e-03,1.72e-02,
7.788000e-03,1.72e-02,
7.790000e-03,1.76e-02,
7.792000e-03,1.76e-02,
7.794000e-03,1.72e-02,
7.796000e-03,1.72e-02,
7.798000e-03,1.72e-02,
7.800000e-03,1.72e-02,
7.802000e-03,1.72e-02,
7.804000e-03,1.72e-02,
7.806000e-03,1.72e-02,
7.808000e-03,1.76e-02,
7.810000e-03,1.72e-02,
7.812000e-03,1.76e-02,
7.814000e-03,1.72e-02,
7.816000e-03,1.72e-02,
7.818000e-03,1.72e-02,
7.820000e-03,1.76e-02,
7.822000e-03,1.72e-02,
7.824000e-03,1.72e-02,
7.826000e-03,1.72e-02,
7.828000e-03,1.72e-02,
7.830000e-03,1.72e-02,
7.832000e-03,1.72e-02,
7.834000e-03,1.68e-02,
7.836000e-03,1.72e-02,
7.838000e-03,1.68e-02,
7.840000e-03,1.72e-02,
7.842000e-03,1.64e-02,
7.844000e-03,1.72e-02,
7.846000e-03,1.72e-02,
7.848000e-03,1.68e-02,
7.850000e-03,1.72e-02,
7.852000e-03,1.72e-02,
7.854000e-03,1.72e-02,
7.856000e-03,1.72e-02,
7.858000e-03,1.72e-02,
7.860000e-03,1.72e-02,
7.862000e-03,1.72e-02,
7.864000e-03,1.72e-02,
7.866000e-03,1.72e-02,
7.868000e-03,1.68e-02,
7.870000e-03,1.68e-02,
7.872000e-03,1.72e-02,
7.874000e-03,1.68e-02,
7.876000e-03,1.68e-02,
7.878000e-03,1.72e-02,
7.880000e-03,1.68e-02,
7.882000e-03,1.72e-02,
7.884000e-03,1.68e-02,
7.886000e-03,1.68e-02,
7.888000e-03,1.68e-02,
7.890000e-03,1.72e-02,
7.892000e-03,1.68e-02,
7.894000e-03,1.68e-02,
7.896000e-03,1.68e-02,
7.898000e-03,1.72e-02,
7.900000e-03,1.68e-02,
7.902000e-03,1.68e-02,
