Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-3501,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-02,
Vertical Position,-8.160E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,8.000E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,8.000E-04,
Firmware,V1.26,
Time,23-Aug-19 05:39:45,
Mode,Detail,
Waveform Data,
7.000000e-04,2.16e-02,
7.002000e-04,2.16e-02,
7.004000e-04,2.24e-02,
7.006000e-04,2.16e-02,
7.008000e-04,2.16e-02,
7.010000e-04,2.16e-02,
7.012000e-04,2.16e-02,
7.014000e-04,2.16e-02,
7.016000e-04,2.16e-02,
7.018000e-04,2.16e-02,
7.020000e-04,2.16e-02,
7.022000e-04,2.16e-02,
7.024000e-04,2.08e-02,
7.026000e-04,2.16e-02,
7.028000e-04,2.16e-02,
7.030000e-04,2.16e-02,
7.032000e-04,2.16e-02,
7.034000e-04,2.24e-02,
7.036000e-04,2.16e-02,
7.038000e-04,2.16e-02,
7.040000e-04,2.16e-02,
7.042000e-04,2.16e-02,
7.044000e-04,2.16e-02,
7.046000e-04,2.16e-02,
7.048000e-04,2.16e-02,
7.050000e-04,2.16e-02,
7.052000e-04,2.16e-02,
7.054000e-04,2.16e-02,
7.056000e-04,2.08e-02,
7.058000e-04,2.08e-02,
7.060000e-04,2.16e-02,
7.062000e-04,2.16e-02,
7.064000e-04,2.16e-02,
7.066000e-04,2.16e-02,
7.068000e-04,2.24e-02,
7.070000e-04,2.16e-02,
7.072000e-04,2.24e-02,
7.074000e-04,2.24e-02,
7.076000e-04,2.16e-02,
7.078000e-04,2.16e-02,
7.080000e-04,2.16e-02,
7.082000e-04,2.24e-02,
7.084000e-04,2.16e-02,
7.086000e-04,2.24e-02,
7.088000e-04,2.16e-02,
7.090000e-04,2.16e-02,
7.092000e-04,2.16e-02,
7.094000e-04,2.16e-02,
7.096000e-04,2.16e-02,
7.098000e-04,2.16e-02,
7.100000e-04,2.16e-02,
7.102000e-04,2.24e-02,
7.104000e-04,2.16e-02,
7.106000e-04,2.16e-02,
7.108000e-04,2.16e-02,
7.110000e-04,2.16e-02,
7.112000e-04,2.16e-02,
7.114000e-04,2.16e-02,
7.116000e-04,2.16e-02,
7.118000e-04,2.16e-02,
7.120000e-04,2.16e-02,
7.122000e-04,2.16e-02,
7.124000e-04,2.16e-02,
7.126000e-04,2.16e-02,
7.128000e-04,2.16e-02,
7.130000e-04,2.24e-02,
7.132000e-04,2.16e-02,
7.134000e-04,2.16e-02,
7.136000e-04,2.16e-02,
7.138000e-04,2.16e-02,
7.140000e-04,2.24e-02,
7.142000e-04,2.24e-02,
7.144000e-04,2.16e-02,
7.146000e-04,2.16e-02,
7.148000e-04,2.16e-02,
7.150000e-04,2.16e-02,
7.152000e-04,2.16e-02,
7.154000e-04,2.16e-02,
7.156000e-04,2.08e-02,
7.158000e-04,2.16e-02,
7.160000e-04,2.08e-02,
7.162000e-04,2.16e-02,
7.164000e-04,2.16e-02,
7.166000e-04,2.16e-02,
7.168000e-04,2.16e-02,
7.170000e-04,2.24e-02,
7.172000e-04,2.16e-02,
7.174000e-04,2.08e-02,
7.176000e-04,2.24e-02,
7.178000e-04,2.16e-02,
7.180000e-04,2.08e-02,
7.182000e-04,2.16e-02,
7.184000e-04,2.24e-02,
7.186000e-04,2.16e-02,
7.188000e-04,2.16e-02,
7.190000e-04,2.16e-02,
7.192000e-04,2.16e-02,
7.194000e-04,2.16e-02,
7.196000e-04,2.16e-02,
7.198000e-04,2.16e-02,
7.200000e-04,2.16e-02,
7.202000e-04,2.08e-02,
7.204000e-04,2.16e-02,
7.206000e-04,2.16e-02,
7.208000e-04,2.16e-02,
7.210000e-04,2.08e-02,
7.212000e-04,2.24e-02,
7.214000e-04,2.16e-02,
7.216000e-04,2.16e-02,
7.218000e-04,2.16e-02,
7.220000e-04,2.16e-02,
7.222000e-04,2.24e-02,
7.224000e-04,2.16e-02,
7.226000e-04,2.24e-02,
7.228000e-04,2.16e-02,
7.230000e-04,2.16e-02,
7.232000e-04,2.24e-02,
7.234000e-04,2.24e-02,
7.236000e-04,2.24e-02,
7.238000e-04,2.16e-02,
7.240000e-04,2.16e-02,
7.242000e-04,2.16e-02,
7.244000e-04,2.16e-02,
7.246000e-04,2.16e-02,
7.248000e-04,2.16e-02,
7.250000e-04,2.16e-02,
7.252000e-04,2.16e-02,
7.254000e-04,2.16e-02,
7.256000e-04,2.16e-02,
7.258000e-04,2.16e-02,
7.260000e-04,2.16e-02,
7.262000e-04,2.08e-02,
7.264000e-04,2.16e-02,
7.266000e-04,2.16e-02,
7.268000e-04,2.08e-02,
7.270000e-04,2.24e-02,
7.272000e-04,2.16e-02,
7.274000e-04,2.16e-02,
7.276000e-04,2.16e-02,
7.278000e-04,2.16e-02,
7.280000e-04,2.16e-02,
7.282000e-04,2.16e-02,
7.284000e-04,2.16e-02,
7.286000e-04,2.16e-02,
7.288000e-04,2.16e-02,
7.290000e-04,2.16e-02,
7.292000e-04,2.16e-02,
7.294000e-04,2.24e-02,
7.296000e-04,2.24e-02,
7.298000e-04,2.16e-02,
7.300000e-04,2.16e-02,
7.302000e-04,2.24e-02,
7.304000e-04,2.16e-02,
7.306000e-04,2.16e-02,
7.308000e-04,2.24e-02,
7.310000e-04,2.24e-02,
7.312000e-04,2.16e-02,
7.314000e-04,2.16e-02,
7.316000e-04,2.16e-02,
7.318000e-04,2.16e-02,
7.320000e-04,2.16e-02,
7.322000e-04,2.24e-02,
7.324000e-04,2.16e-02,
7.326000e-04,2.16e-02,
7.328000e-04,2.08e-02,
7.330000e-04,2.16e-02,
7.332000e-04,2.16e-02,
7.334000e-04,2.16e-02,
7.336000e-04,2.24e-02,
7.338000e-04,2.16e-02,
7.340000e-04,2.16e-02,
7.342000e-04,2.16e-02,
7.344000e-04,2.16e-02,
7.346000e-04,2.16e-02,
7.348000e-04,2.16e-02,
7.350000e-04,2.16e-02,
7.352000e-04,2.24e-02,
7.354000e-04,2.16e-02,
7.356000e-04,2.16e-02,
7.358000e-04,2.16e-02,
7.360000e-04,2.16e-02,
7.362000e-04,2.16e-02,
7.364000e-04,2.16e-02,
7.366000e-04,2.16e-02,
7.368000e-04,2.16e-02,
7.370000e-04,2.16e-02,
7.372000e-04,2.16e-02,
7.374000e-04,2.16e-02,
7.376000e-04,2.16e-02,
7.378000e-04,2.16e-02,
7.380000e-04,2.16e-02,
7.382000e-04,2.16e-02,
7.384000e-04,2.24e-02,
7.386000e-04,2.08e-02,
7.388000e-04,2.24e-02,
