Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-22176,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-03,
Vertical Position,-4.460E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,4.535E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,4.535E-03,
Firmware,V1.26,
Time,23-Aug-19 06:27:43,
Mode,Detail,
Waveform Data,
4.435000e-03,2.96e-02,
4.435200e-03,2.94e-02,
4.435400e-03,2.96e-02,
4.435600e-03,2.94e-02,
4.435800e-03,3.02e-02,
4.436000e-03,3.00e-02,
4.436200e-03,2.96e-02,
4.436400e-03,2.96e-02,
4.436600e-03,2.96e-02,
4.436800e-03,2.92e-02,
4.437000e-03,2.94e-02,
4.437200e-03,2.96e-02,
4.437400e-03,2.96e-02,
4.437600e-03,3.00e-02,
4.437800e-03,2.94e-02,
4.438000e-03,2.92e-02,
4.438200e-03,2.98e-02,
4.438400e-03,2.92e-02,
4.438600e-03,2.96e-02,
4.438800e-03,2.96e-02,
4.439000e-03,2.98e-02,
4.439200e-03,2.94e-02,
4.439400e-03,2.92e-02,
4.439600e-03,2.92e-02,
4.439800e-03,3.00e-02,
4.440000e-03,2.98e-02,
4.440200e-03,2.98e-02,
4.440400e-03,2.98e-02,
4.440600e-03,3.00e-02,
4.440800e-03,2.96e-02,
4.441000e-03,2.96e-02,
4.441200e-03,2.94e-02,
4.441400e-03,2.96e-02,
4.441600e-03,2.94e-02,
4.441800e-03,2.90e-02,
4.442000e-03,2.98e-02,
4.442200e-03,2.94e-02,
4.442400e-03,2.96e-02,
4.442600e-03,2.92e-02,
4.442800e-03,2.94e-02,
4.443000e-03,2.98e-02,
4.443200e-03,2.92e-02,
4.443400e-03,2.98e-02,
4.443600e-03,2.94e-02,
4.443800e-03,2.98e-02,
4.444000e-03,2.96e-02,
4.444200e-03,2.92e-02,
4.444400e-03,2.94e-02,
4.444600e-03,2.98e-02,
4.444800e-03,2.94e-02,
4.445000e-03,2.98e-02,
4.445200e-03,2.88e-02,
4.445400e-03,2.98e-02,
4.445600e-03,2.96e-02,
4.445800e-03,2.94e-02,
4.446000e-03,2.98e-02,
4.446200e-03,2.96e-02,
4.446400e-03,2.98e-02,
4.446600e-03,2.96e-02,
4.446800e-03,2.98e-02,
4.447000e-03,2.90e-02,
4.447200e-03,2.94e-02,
4.447400e-03,3.00e-02,
4.447600e-03,3.02e-02,
4.447800e-03,2.94e-02,
4.448000e-03,2.96e-02,
4.448200e-03,2.98e-02,
4.448400e-03,2.98e-02,
4.448600e-03,2.96e-02,
4.448800e-03,3.00e-02,
4.449000e-03,2.96e-02,
4.449200e-03,2.92e-02,
4.449400e-03,2.96e-02,
4.449600e-03,2.96e-02,
4.449800e-03,3.02e-02,
4.450000e-03,2.96e-02,
4.450200e-03,2.94e-02,
4.450400e-03,2.96e-02,
4.450600e-03,2.94e-02,
4.450800e-03,2.96e-02,
4.451000e-03,2.96e-02,
4.451200e-03,2.96e-02,
4.451400e-03,2.98e-02,
4.451600e-03,2.92e-02,
4.451800e-03,2.90e-02,
4.452000e-03,2.96e-02,
4.452200e-03,2.98e-02,
4.452400e-03,2.90e-02,
4.452600e-03,2.98e-02,
4.452800e-03,2.94e-02,
4.453000e-03,2.96e-02,
4.453200e-03,2.96e-02,
4.453400e-03,2.94e-02,
4.453600e-03,2.96e-02,
4.453800e-03,3.00e-02,
4.454000e-03,2.92e-02,
4.454200e-03,2.96e-02,
4.454400e-03,2.96e-02,
4.454600e-03,2.92e-02,
4.454800e-03,2.98e-02,
4.455000e-03,2.96e-02,
4.455200e-03,2.90e-02,
4.455400e-03,2.94e-02,
4.455600e-03,3.00e-02,
4.455800e-03,2.96e-02,
4.456000e-03,2.94e-02,
4.456200e-03,3.00e-02,
4.456400e-03,2.96e-02,
4.456600e-03,2.90e-02,
4.456800e-03,2.92e-02,
4.457000e-03,2.96e-02,
4.457200e-03,2.94e-02,
4.457400e-03,2.94e-02,
4.457600e-03,2.92e-02,
4.457800e-03,2.88e-02,
4.458000e-03,2.98e-02,
4.458200e-03,3.00e-02,
4.458400e-03,2.94e-02,
4.458600e-03,2.94e-02,
4.458800e-03,2.96e-02,
4.459000e-03,2.98e-02,
4.459200e-03,2.96e-02,
4.459400e-03,2.90e-02,
4.459600e-03,3.00e-02,
4.459800e-03,2.96e-02,
4.460000e-03,3.02e-02,
4.460200e-03,2.98e-02,
4.460400e-03,2.94e-02,
4.460600e-03,2.96e-02,
4.460800e-03,2.96e-02,
4.461000e-03,2.96e-02,
4.461200e-03,2.94e-02,
4.461400e-03,2.94e-02,
4.461600e-03,2.98e-02,
4.461800e-03,2.96e-02,
4.462000e-03,2.98e-02,
4.462200e-03,2.94e-02,
4.462400e-03,2.94e-02,
4.462600e-03,2.96e-02,
4.462800e-03,2.94e-02,
4.463000e-03,2.98e-02,
4.463200e-03,2.96e-02,
4.463400e-03,2.94e-02,
4.463600e-03,2.98e-02,
4.463800e-03,3.00e-02,
4.464000e-03,2.96e-02,
4.464200e-03,2.94e-02,
4.464400e-03,2.98e-02,
4.464600e-03,2.96e-02,
4.464800e-03,2.96e-02,
4.465000e-03,3.00e-02,
4.465200e-03,3.00e-02,
4.465400e-03,2.96e-02,
4.465600e-03,2.96e-02,
4.465800e-03,2.98e-02,
4.466000e-03,2.96e-02,
4.466200e-03,3.00e-02,
4.466400e-03,3.00e-02,
4.466600e-03,2.92e-02,
4.466800e-03,2.94e-02,
4.467000e-03,2.96e-02,
4.467200e-03,3.04e-02,
4.467400e-03,2.96e-02,
4.467600e-03,3.00e-02,
4.467800e-03,2.96e-02,
4.468000e-03,2.92e-02,
4.468200e-03,3.00e-02,
4.468400e-03,2.98e-02,
4.468600e-03,2.96e-02,
4.468800e-03,3.02e-02,
4.469000e-03,2.96e-02,
4.469200e-03,2.98e-02,
4.469400e-03,2.96e-02,
4.469600e-03,2.98e-02,
4.469800e-03,3.00e-02,
4.470000e-03,2.96e-02,
4.470200e-03,3.02e-02,
4.470400e-03,3.02e-02,
4.470600e-03,2.98e-02,
4.470800e-03,2.94e-02,
4.471000e-03,2.96e-02,
4.471200e-03,3.02e-02,
4.471400e-03,3.00e-02,
4.471600e-03,3.00e-02,
4.471800e-03,2.90e-02,
4.472000e-03,2.98e-02,
4.472200e-03,2.94e-02,
4.472400e-03,2.98e-02,
4.472600e-03,2.96e-02,
4.472800e-03,2.96e-02,
4.473000e-03,2.92e-02,
4.473200e-03,2.96e-02,
4.473400e-03,2.98e-02,
4.473600e-03,2.98e-02,
4.473800e-03,2.98e-02,
