Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-2491,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-02,
Vertical Position,-8.160E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,5.980E-04,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,5.980E-04,
Firmware,V1.26,
Time,23-Aug-19 05:54:07,
Mode,Detail,
Waveform Data,
4.980000e-04,2.16e-02,
4.982000e-04,2.16e-02,
4.984000e-04,2.24e-02,
4.986000e-04,2.16e-02,
4.988000e-04,2.16e-02,
4.990000e-04,2.24e-02,
4.992000e-04,2.16e-02,
4.994000e-04,2.16e-02,
4.996000e-04,2.16e-02,
4.998000e-04,2.16e-02,
5.000000e-04,2.16e-02,
5.002000e-04,2.16e-02,
5.004000e-04,2.24e-02,
5.006000e-04,2.16e-02,
5.008000e-04,2.24e-02,
5.010000e-04,2.16e-02,
5.012000e-04,2.16e-02,
5.014000e-04,2.16e-02,
5.016000e-04,2.16e-02,
5.018000e-04,2.24e-02,
5.020000e-04,2.16e-02,
5.022000e-04,2.24e-02,
5.024000e-04,2.16e-02,
5.026000e-04,2.16e-02,
5.028000e-04,2.16e-02,
5.030000e-04,2.16e-02,
5.032000e-04,2.16e-02,
5.034000e-04,2.08e-02,
5.036000e-04,2.24e-02,
5.038000e-04,2.24e-02,
5.040000e-04,2.08e-02,
5.042000e-04,2.24e-02,
5.044000e-04,2.16e-02,
5.046000e-04,2.16e-02,
5.048000e-04,2.24e-02,
5.050000e-04,2.24e-02,
5.052000e-04,2.08e-02,
5.054000e-04,2.16e-02,
5.056000e-04,2.16e-02,
5.058000e-04,2.16e-02,
5.060000e-04,2.16e-02,
5.062000e-04,2.16e-02,
5.064000e-04,2.16e-02,
5.066000e-04,2.24e-02,
5.068000e-04,2.16e-02,
5.070000e-04,2.16e-02,
5.072000e-04,2.16e-02,
5.074000e-04,2.16e-02,
5.076000e-04,2.16e-02,
5.078000e-04,2.16e-02,
5.080000e-04,2.16e-02,
5.082000e-04,2.16e-02,
5.084000e-04,2.16e-02,
5.086000e-04,2.24e-02,
5.088000e-04,2.16e-02,
5.090000e-04,2.16e-02,
5.092000e-04,2.16e-02,
5.094000e-04,2.24e-02,
5.096000e-04,2.16e-02,
5.098000e-04,2.16e-02,
5.100000e-04,2.16e-02,
5.102000e-04,2.16e-02,
5.104000e-04,2.16e-02,
5.106000e-04,2.08e-02,
5.108000e-04,2.24e-02,
5.110000e-04,2.24e-02,
5.112000e-04,2.24e-02,
5.114000e-04,2.24e-02,
5.116000e-04,2.16e-02,
5.118000e-04,2.16e-02,
5.120000e-04,2.16e-02,
5.122000e-04,2.16e-02,
5.124000e-04,2.16e-02,
5.126000e-04,2.24e-02,
5.128000e-04,2.16e-02,
5.130000e-04,2.24e-02,
5.132000e-04,2.24e-02,
5.134000e-04,2.16e-02,
5.136000e-04,2.16e-02,
5.138000e-04,2.16e-02,
5.140000e-04,2.16e-02,
5.142000e-04,2.16e-02,
5.144000e-04,2.16e-02,
5.146000e-04,2.16e-02,
5.148000e-04,2.08e-02,
5.150000e-04,2.24e-02,
5.152000e-04,2.16e-02,
5.154000e-04,2.16e-02,
5.156000e-04,2.24e-02,
5.158000e-04,2.24e-02,
5.160000e-04,2.16e-02,
5.162000e-04,2.16e-02,
5.164000e-04,2.16e-02,
5.166000e-04,2.16e-02,
5.168000e-04,2.16e-02,
5.170000e-04,2.24e-02,
5.172000e-04,2.16e-02,
5.174000e-04,2.16e-02,
5.176000e-04,2.16e-02,
5.178000e-04,2.24e-02,
5.180000e-04,2.16e-02,
5.182000e-04,2.16e-02,
5.184000e-04,2.16e-02,
5.186000e-04,2.16e-02,
5.188000e-04,2.16e-02,
5.190000e-04,2.16e-02,
5.192000e-04,2.24e-02,
5.194000e-04,2.16e-02,
5.196000e-04,2.16e-02,
5.198000e-04,2.16e-02,
5.200000e-04,2.08e-02,
5.202000e-04,2.24e-02,
5.204000e-04,2.16e-02,
5.206000e-04,2.08e-02,
5.208000e-04,2.16e-02,
5.210000e-04,2.16e-02,
5.212000e-04,2.16e-02,
5.214000e-04,2.16e-02,
5.216000e-04,2.16e-02,
5.218000e-04,2.16e-02,
5.220000e-04,2.16e-02,
5.222000e-04,2.16e-02,
5.224000e-04,2.16e-02,
5.226000e-04,2.16e-02,
5.228000e-04,2.08e-02,
5.230000e-04,2.16e-02,
5.232000e-04,2.16e-02,
5.234000e-04,2.16e-02,
5.236000e-04,2.24e-02,
5.238000e-04,2.24e-02,
5.240000e-04,2.16e-02,
5.242000e-04,2.24e-02,
5.244000e-04,2.16e-02,
5.246000e-04,2.16e-02,
5.248000e-04,2.16e-02,
5.250000e-04,2.16e-02,
5.252000e-04,2.16e-02,
5.254000e-04,2.16e-02,
5.256000e-04,2.08e-02,
5.258000e-04,2.16e-02,
5.260000e-04,2.16e-02,
5.262000e-04,2.16e-02,
5.264000e-04,2.16e-02,
5.266000e-04,2.16e-02,
5.268000e-04,2.08e-02,
5.270000e-04,2.16e-02,
5.272000e-04,2.16e-02,
5.274000e-04,2.16e-02,
5.276000e-04,2.16e-02,
5.278000e-04,2.16e-02,
5.280000e-04,2.16e-02,
5.282000e-04,2.24e-02,
5.284000e-04,2.16e-02,
5.286000e-04,2.16e-02,
5.288000e-04,2.16e-02,
5.290000e-04,2.24e-02,
5.292000e-04,2.16e-02,
5.294000e-04,2.16e-02,
5.296000e-04,2.24e-02,
5.298000e-04,2.16e-02,
5.300000e-04,2.24e-02,
5.302000e-04,2.24e-02,
5.304000e-04,2.16e-02,
5.306000e-04,2.24e-02,
5.308000e-04,2.16e-02,
5.310000e-04,2.16e-02,
5.312000e-04,2.16e-02,
5.314000e-04,2.16e-02,
5.316000e-04,2.16e-02,
5.318000e-04,2.24e-02,
5.320000e-04,2.16e-02,
5.322000e-04,2.16e-02,
5.324000e-04,2.16e-02,
5.326000e-04,2.16e-02,
5.328000e-04,2.16e-02,
5.330000e-04,2.16e-02,
5.332000e-04,2.16e-02,
5.334000e-04,2.24e-02,
5.336000e-04,2.16e-02,
5.338000e-04,2.24e-02,
5.340000e-04,2.16e-02,
5.342000e-04,2.16e-02,
5.344000e-04,2.16e-02,
5.346000e-04,2.16e-02,
5.348000e-04,2.16e-02,
5.350000e-04,2.16e-02,
5.352000e-04,2.16e-02,
5.354000e-04,2.16e-02,
5.356000e-04,2.16e-02,
5.358000e-04,2.24e-02,
5.360000e-04,2.16e-02,
5.362000e-04,2.16e-02,
5.364000e-04,2.24e-02,
5.366000e-04,2.16e-02,
5.368000e-04,2.24e-02,
