Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-13730,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E-02,
Vertical Position,-4.880E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,2.845E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,2.845E-03,
Firmware,V1.26,
Time,23-Aug-19 06:16:54,
Mode,Detail,
Waveform Data,
2.745000e-03,1.88e-02,
2.745200e-03,1.88e-02,
2.745400e-03,1.92e-02,
2.745600e-03,1.88e-02,
2.745800e-03,1.92e-02,
2.746000e-03,1.92e-02,
2.746200e-03,1.96e-02,
2.746400e-03,1.92e-02,
2.746600e-03,1.92e-02,
2.746800e-03,1.92e-02,
2.747000e-03,1.92e-02,
2.747200e-03,1.88e-02,
2.747400e-03,1.88e-02,
2.747600e-03,1.92e-02,
2.747800e-03,1.92e-02,
2.748000e-03,1.88e-02,
2.748200e-03,1.92e-02,
2.748400e-03,1.84e-02,
2.748600e-03,1.92e-02,
2.748800e-03,1.88e-02,
2.749000e-03,1.96e-02,
2.749200e-03,1.88e-02,
2.749400e-03,1.88e-02,
2.749600e-03,1.92e-02,
2.749800e-03,1.92e-02,
2.750000e-03,1.96e-02,
2.750200e-03,1.92e-02,
2.750400e-03,1.92e-02,
2.750600e-03,1.88e-02,
2.750800e-03,1.92e-02,
2.751000e-03,1.88e-02,
2.751200e-03,1.88e-02,
2.751400e-03,1.88e-02,
2.751600e-03,1.92e-02,
2.751800e-03,1.92e-02,
2.752000e-03,1.96e-02,
2.752200e-03,1.96e-02,
2.752400e-03,1.96e-02,
2.752600e-03,1.96e-02,
2.752800e-03,1.88e-02,
2.753000e-03,1.96e-02,
2.753200e-03,1.96e-02,
2.753400e-03,1.92e-02,
2.753600e-03,1.88e-02,
2.753800e-03,1.88e-02,
2.754000e-03,1.92e-02,
2.754200e-03,1.92e-02,
2.754400e-03,1.92e-02,
2.754600e-03,1.92e-02,
2.754800e-03,1.88e-02,
2.755000e-03,1.92e-02,
2.755200e-03,1.92e-02,
2.755400e-03,1.96e-02,
2.755600e-03,1.92e-02,
2.755800e-03,1.92e-02,
2.756000e-03,1.88e-02,
2.756200e-03,1.92e-02,
2.756400e-03,1.92e-02,
2.756600e-03,1.96e-02,
2.756800e-03,1.84e-02,
2.757000e-03,1.88e-02,
2.757200e-03,2.00e-02,
2.757400e-03,1.92e-02,
2.757600e-03,1.84e-02,
2.757800e-03,1.92e-02,
2.758000e-03,1.96e-02,
2.758200e-03,1.96e-02,
2.758400e-03,1.92e-02,
2.758600e-03,1.92e-02,
2.758800e-03,1.88e-02,
2.759000e-03,1.96e-02,
2.759200e-03,1.92e-02,
2.759400e-03,2.00e-02,
2.759600e-03,1.92e-02,
2.759800e-03,1.96e-02,
2.760000e-03,1.96e-02,
2.760200e-03,1.96e-02,
2.760400e-03,1.92e-02,
2.760600e-03,2.00e-02,
2.760800e-03,1.92e-02,
2.761000e-03,1.96e-02,
2.761200e-03,1.96e-02,
2.761400e-03,1.96e-02,
2.761600e-03,1.92e-02,
2.761800e-03,1.92e-02,
2.762000e-03,1.96e-02,
2.762200e-03,1.92e-02,
2.762400e-03,1.92e-02,
2.762600e-03,1.92e-02,
2.762800e-03,1.92e-02,
2.763000e-03,1.92e-02,
2.763200e-03,1.96e-02,
2.763400e-03,1.92e-02,
2.763600e-03,2.00e-02,
2.763800e-03,1.96e-02,
2.764000e-03,1.96e-02,
2.764200e-03,1.92e-02,
2.764400e-03,1.92e-02,
2.764600e-03,1.96e-02,
2.764800e-03,1.92e-02,
2.765000e-03,1.92e-02,
2.765200e-03,1.92e-02,
2.765400e-03,1.96e-02,
2.765600e-03,1.92e-02,
2.765800e-03,1.96e-02,
2.766000e-03,2.00e-02,
2.766200e-03,1.96e-02,
2.766400e-03,1.92e-02,
2.766600e-03,2.00e-02,
2.766800e-03,2.04e-02,
2.767000e-03,2.00e-02,
2.767200e-03,2.04e-02,
2.767400e-03,1.96e-02,
2.767600e-03,1.96e-02,
2.767800e-03,2.00e-02,
2.768000e-03,2.04e-02,
2.768200e-03,2.04e-02,
2.768400e-03,2.04e-02,
2.768600e-03,2.00e-02,
2.768800e-03,2.04e-02,
2.769000e-03,2.04e-02,
2.769200e-03,2.08e-02,
2.769400e-03,2.04e-02,
2.769600e-03,2.08e-02,
2.769800e-03,2.04e-02,
2.770000e-03,2.20e-02,
2.770200e-03,2.24e-02,
2.770400e-03,2.16e-02,
2.770600e-03,2.16e-02,
2.770800e-03,2.20e-02,
2.771000e-03,2.24e-02,
2.771200e-03,2.12e-02,
2.771400e-03,2.28e-02,
2.771600e-03,2.28e-02,
2.771800e-03,2.28e-02,
2.772000e-03,2.28e-02,
2.772200e-03,2.28e-02,
2.772400e-03,2.24e-02,
2.772600e-03,2.44e-02,
2.772800e-03,2.52e-02,
2.773000e-03,2.48e-02,
2.773200e-03,2.80e-02,
2.773400e-03,3.24e-02,
2.773600e-03,3.24e-02,
2.773800e-03,2.96e-02,
2.774000e-03,2.68e-02,
2.774200e-03,3.00e-02,
2.774400e-03,3.12e-02,
2.774600e-03,3.56e-02,
2.774800e-03,4.00e-02,
2.775000e-03,4.16e-02,
2.775200e-03,4.48e-02,
2.775400e-03,4.88e-02,
2.775600e-03,4.96e-02,
2.775800e-03,5.32e-02,
2.776000e-03,5.68e-02,
2.776200e-03,5.64e-02,
2.776400e-03,5.56e-02,
2.776600e-03,5.76e-02,
2.776800e-03,5.84e-02,
2.777000e-03,5.88e-02,
2.777200e-03,5.28e-02,
2.777400e-03,5.24e-02,
2.777600e-03,5.24e-02,
2.777800e-03,4.88e-02,
2.778000e-03,5.08e-02,
2.778200e-03,5.00e-02,
2.778400e-03,4.48e-02,
2.778600e-03,4.60e-02,
2.778800e-03,4.36e-02,
2.779000e-03,4.12e-02,
2.779200e-03,3.44e-02,
2.779400e-03,3.28e-02,
2.779600e-03,2.76e-02,
2.779800e-03,2.76e-02,
2.780000e-03,2.48e-02,
2.780200e-03,2.36e-02,
2.780400e-03,2.44e-02,
2.780600e-03,2.36e-02,
2.780800e-03,2.32e-02,
2.781000e-03,2.28e-02,
2.781200e-03,2.28e-02,
2.781400e-03,2.24e-02,
2.781600e-03,2.24e-02,
2.781800e-03,2.28e-02,
2.782000e-03,2.16e-02,
2.782200e-03,2.20e-02,
2.782400e-03,2.04e-02,
2.782600e-03,2.12e-02,
2.782800e-03,2.12e-02,
2.783000e-03,2.04e-02,
2.783200e-03,2.08e-02,
2.783400e-03,2.08e-02,
2.783600e-03,2.08e-02,
2.783800e-03,2.04e-02,
