Format,2.0E,
Memory Length,1000,
IntpDistance,0,
Trigger Address,-31631,
Trigger Level,4.245E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-02,
Vertical Position,-8.160E-02,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,3.213E-03,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-07,
Horizontal Old Scale,1.000E-05,
Horizontal Old Position,3.213E-03,
Firmware,V1.26,
Time,23-Aug-19 06:13:30,
Mode,Detail,
Waveform Data,
3.163000e-03,2.16e-02,
3.163100e-03,2.16e-02,
3.163200e-03,2.16e-02,
3.163300e-03,2.08e-02,
3.163400e-03,2.08e-02,
3.163500e-03,2.16e-02,
3.163600e-03,2.08e-02,
3.163700e-03,2.08e-02,
3.163800e-03,2.16e-02,
3.163900e-03,2.16e-02,
3.164000e-03,2.16e-02,
3.164100e-03,2.16e-02,
3.164200e-03,2.08e-02,
3.164300e-03,2.16e-02,
3.164400e-03,2.16e-02,
3.164500e-03,2.16e-02,
3.164600e-03,2.16e-02,
3.164700e-03,2.16e-02,
3.164800e-03,2.16e-02,
3.164900e-03,2.24e-02,
3.165000e-03,2.16e-02,
3.165100e-03,2.16e-02,
3.165200e-03,2.08e-02,
3.165300e-03,2.16e-02,
3.165400e-03,2.16e-02,
3.165500e-03,2.24e-02,
3.165600e-03,2.24e-02,
3.165700e-03,2.16e-02,
3.165800e-03,2.16e-02,
3.165900e-03,2.16e-02,
3.166000e-03,2.16e-02,
3.166100e-03,2.16e-02,
3.166200e-03,2.24e-02,
3.166300e-03,2.24e-02,
3.166400e-03,2.16e-02,
3.166500e-03,2.16e-02,
3.166600e-03,2.16e-02,
3.166700e-03,2.16e-02,
3.166800e-03,2.24e-02,
3.166900e-03,2.16e-02,
3.167000e-03,2.16e-02,
3.167100e-03,2.24e-02,
3.167200e-03,2.24e-02,
3.167300e-03,2.24e-02,
3.167400e-03,2.16e-02,
3.167500e-03,2.16e-02,
3.167600e-03,2.16e-02,
3.167700e-03,2.24e-02,
3.167800e-03,2.08e-02,
3.167900e-03,2.16e-02,
3.168000e-03,2.16e-02,
3.168100e-03,2.24e-02,
3.168200e-03,2.16e-02,
3.168300e-03,2.24e-02,
3.168400e-03,2.16e-02,
3.168500e-03,2.16e-02,
3.168600e-03,2.16e-02,
3.168700e-03,2.16e-02,
3.168800e-03,2.16e-02,
3.168900e-03,2.24e-02,
3.169000e-03,2.16e-02,
3.169100e-03,2.24e-02,
3.169200e-03,2.16e-02,
3.169300e-03,2.16e-02,
3.169400e-03,2.16e-02,
3.169500e-03,2.16e-02,
3.169600e-03,2.16e-02,
3.169700e-03,2.16e-02,
3.169800e-03,2.16e-02,
3.169900e-03,2.24e-02,
3.170000e-03,2.16e-02,
3.170100e-03,2.08e-02,
3.170200e-03,2.16e-02,
3.170300e-03,2.24e-02,
3.170400e-03,2.16e-02,
3.170500e-03,2.16e-02,
3.170600e-03,2.16e-02,
3.170700e-03,2.16e-02,
3.170800e-03,2.16e-02,
3.170900e-03,2.08e-02,
3.171000e-03,2.24e-02,
3.171100e-03,2.16e-02,
3.171200e-03,2.16e-02,
3.171300e-03,2.08e-02,
3.171400e-03,2.16e-02,
3.171500e-03,2.16e-02,
3.171600e-03,2.16e-02,
3.171700e-03,2.08e-02,
3.171800e-03,2.16e-02,
3.171900e-03,2.24e-02,
3.172000e-03,2.24e-02,
3.172100e-03,2.16e-02,
3.172200e-03,2.24e-02,
3.172300e-03,2.24e-02,
3.172400e-03,2.16e-02,
3.172500e-03,2.16e-02,
3.172600e-03,2.24e-02,
3.172700e-03,2.16e-02,
3.172800e-03,2.16e-02,
3.172900e-03,2.16e-02,
3.173000e-03,2.16e-02,
3.173100e-03,2.16e-02,
3.173200e-03,2.16e-02,
3.173300e-03,2.24e-02,
3.173400e-03,2.16e-02,
3.173500e-03,2.16e-02,
3.173600e-03,2.24e-02,
3.173700e-03,2.24e-02,
3.173800e-03,2.16e-02,
3.173900e-03,2.24e-02,
3.174000e-03,2.16e-02,
3.174100e-03,2.16e-02,
3.174200e-03,2.24e-02,
3.174300e-03,2.24e-02,
3.174400e-03,2.24e-02,
3.174500e-03,2.16e-02,
3.174600e-03,2.16e-02,
3.174700e-03,2.16e-02,
3.174800e-03,2.16e-02,
3.174900e-03,2.16e-02,
3.175000e-03,2.16e-02,
3.175100e-03,2.16e-02,
3.175200e-03,2.16e-02,
3.175300e-03,2.16e-02,
3.175400e-03,2.24e-02,
3.175500e-03,2.16e-02,
3.175600e-03,2.16e-02,
3.175700e-03,2.16e-02,
3.175800e-03,2.16e-02,
3.175900e-03,2.24e-02,
3.176000e-03,2.16e-02,
3.176100e-03,2.16e-02,
3.176200e-03,2.08e-02,
3.176300e-03,2.24e-02,
3.176400e-03,2.16e-02,
3.176500e-03,2.16e-02,
3.176600e-03,2.24e-02,
3.176700e-03,2.24e-02,
3.176800e-03,2.08e-02,
3.176900e-03,2.16e-02,
3.177000e-03,2.16e-02,
3.177100e-03,2.24e-02,
3.177200e-03,2.16e-02,
3.177300e-03,2.16e-02,
3.177400e-03,2.24e-02,
3.177500e-03,2.16e-02,
3.177600e-03,2.16e-02,
3.177700e-03,2.24e-02,
3.177800e-03,2.16e-02,
3.177900e-03,2.24e-02,
3.178000e-03,2.24e-02,
3.178100e-03,2.24e-02,
3.178200e-03,2.16e-02,
3.178300e-03,2.24e-02,
3.178400e-03,2.16e-02,
3.178500e-03,2.16e-02,
3.178600e-03,2.24e-02,
3.178700e-03,2.16e-02,
3.178800e-03,2.24e-02,
3.178900e-03,2.24e-02,
3.179000e-03,2.24e-02,
3.179100e-03,2.16e-02,
3.179200e-03,2.16e-02,
3.179300e-03,2.16e-02,
3.179400e-03,2.16e-02,
3.179500e-03,2.24e-02,
3.179600e-03,2.24e-02,
3.179700e-03,2.24e-02,
3.179800e-03,2.24e-02,
3.179900e-03,2.16e-02,
3.180000e-03,2.16e-02,
3.180100e-03,2.24e-02,
3.180200e-03,2.24e-02,
3.180300e-03,2.24e-02,
3.180400e-03,2.24e-02,
3.180500e-03,2.16e-02,
3.180600e-03,2.24e-02,
3.180700e-03,2.24e-02,
3.180800e-03,2.16e-02,
3.180900e-03,2.24e-02,
3.181000e-03,2.24e-02,
3.181100e-03,2.24e-02,
3.181200e-03,2.24e-02,
3.181300e-03,2.24e-02,
3.181400e-03,2.24e-02,
3.181500e-03,2.24e-02,
3.181600e-03,2.24e-02,
3.181700e-03,2.24e-02,
3.181800e-03,2.32e-02,
3.181900e-03,2.24e-02,
3.182000e-03,2.24e-02,
3.182100e-03,2.32e-02,
3.182200e-03,2.24e-02,
3.182300e-03,2.24e-02,
3.182400e-03,2.24e-02,
