lambda_AOI=0,reflection_AOI=0,lambda_AOI=10,reflection_AOI=10,,,
750.473668726096,99.0080321285141,754.757281553398,99.0057372346529,,,
750.473668726096,99.0183591508893,754.80435422183,99.0263912794033,,,
750.520741394528,99.0344234079174,754.851426890262,99.0458978772232,,,
750.709032068255,99.0562248995984,755.086790232421,99.0734366035571,,,
750.756104736687,99.0745840504877,755.180935569285,99.0998278829604,,,
750.944395410415,99.100975329891,755.369226243013,99.1273666092943,,,
751.038540747279,99.122776821572,755.55751691674,99.1514629948365,,,
751.179758752574,99.1491681009753,755.698734922036,99.1790017211704,,,
751.368049426302,99.1686746987952,755.839952927332,99.2053930005737,,,
751.415122094734,99.188181296615,755.981170932627,99.2271944922547,,,
751.556340100029,99.201950659782,756.169461606355,99.2581755593804,,,
751.697558105325,99.2248995983936,756.357752280082,99.281124497992,,,
751.885848779053,99.2512908777969,756.593115622242,99.3098106712565,,,
752.07413945278,99.2765347102697,756.828478964401,99.3350545037292,,,
752.262430126508,99.3040734366036,757.063842306561,99.360298336202,,,
752.403648131803,99.3212851405622,757.29920564872,99.3843947217441,,,
752.639011473963,99.346528973035,757.53456899088,99.411933448078,,,
752.921447484554,99.3775100401606,757.817005001471,99.4360298336202,,,
753.156810826714,99.4016064257028,758.099441012062,99.4647160068847,,,
753.439246837305,99.425702811245,758.381877022654,99.491107286288,,,
753.627537511033,99.447504302926,758.664313033245,99.5140562248996,,,
754.05119152692,99.4796328169822,758.993821712268,99.5381526104418,,,
754.333627537511,99.5025817555938,759.323330391292,99.5633964429145,,,
754.56899087967,99.526678141136,759.746984407179,99.5909351692484,,,
754.898499558694,99.548479632817,760.170638423066,99.6173264486517,,,
755.228008237717,99.5714285714286,760.641365107385,99.6437177280551,,,
755.698734922036,99.6001147446931,761.112091791703,99.6689615605278,,,
756.075316269491,99.6219162363741,761.724036481318,99.69305794607,,,
756.498970285378,99.6471600688468,762.383053839365,99.7194492254733,,,
757.063842306561,99.6735513482501,763.230361871139,99.7458405048766,,,
757.769932333039,99.7010900745841,764.124742571345,99.7687894434882,,,
758.240659017358,99.7217441193345,764.924977934687,99.7905909351692,,,
758.852603706973,99.7423981640849,765.772285966461,99.8078026391279,,,
759.935275080906,99.7733792312106,766.713739335099,99.8238668961561,,,
760.829655781112,99.7905909351692,767.655192703736,99.8364888123924,,,
761.53574580759,99.8066551921974,768.549573403942,99.8456683878371,,,
762.618417181524,99.8250143430866,769.349808767284,99.8548479632817,,,
763.701088555457,99.837636259323,770.291262135922,99.8640275387263,,,
764.736687260959,99.8525530694205,771.185642836128,99.8709122203098,,,
766.00764930862,99.8651749856569,772.032950867902,99.8777969018933,,,
767.278611356281,99.8720596672404,772.97440423654,99.8823866896156,,,
768.596646072374,99.8823866896156,773.821712268314,99.8869764773379,,,
769.867608120035,99.8892713711991,774.71609296852,99.8892713711991,,,
771.23271550456,99.895008605852,776.222418358341,99.8927137119908,,,
772.362459546926,99.8984509466437,776.410709032068,99.8961560527826,,,
773.680494263019,99.9007458405049,777.352162400706,99.8995983935743,,,
775.422182994999,99.9041881812966,778.152397764048,99.9007458405049,,,
776.881435716387,99.903040734366,779.093851132686,99.9007458405049,,,
778.152397764048,99.903040734366,780.082377169756,99.903040734366,,,
779.470432480141,99.9041881812966,780.835539864666,99.9018932874355,,,
780.882612533098,99.9007458405049,781.588702559576,99.903040734366,,,
782.43601059135,99.8973034997131,782.67137393351,99.903040734366,,,
783.895263312739,99.8915662650602,783.471609296852,99.9018932874355,,,
785.260370697264,99.8869764773379,784.41306266549,99.9007458405049,,,
786.860841423948,99.8789443488239,785.1662253604,99.9018932874355,,,
787.89644012945,99.873207114171,785.966460723742,99.8984509466437,,,
789.308620182407,99.8628800917958,787.002059429244,99.8973034997131,,,
790.485436893204,99.8548479632817,787.849367461018,99.895008605852,,,
791.615180935569,99.8422260470453,788.743748161224,99.8915662650602,,,
792.980288320094,99.8250143430866,789.63812886143,99.8881239242685,,,
794.015887025596,99.8089500860585,790.6266548985,99.8858290304073,,,
795.192703736393,99.7882960413081,791.37981759341,99.8789443488239,,,
796.228302441895,99.7676419965577,792.274198293616,99.8755020080321,,,
797.640482494851,99.7378083763626,793.168578993822,99.8697647733792,,,
798.158281847602,99.714859437751,794.015887025596,99.8628800917958,,,
798.911444542513,99.6907630522088,794.957340394234,99.8559954102123,,,
799.570461900559,99.6643717728055,795.757575757576,99.8479632816982,,,
800.041188584878,99.6425702811245,796.699029126214,99.8387837062536,,,
800.558987937629,99.6196213425129,797.640482494851,99.829604130809,,,
801.029714621948,99.5932300631096,798.487790526625,99.815834767642,,,
801.547513974698,99.5622489959839,799.382171226831,99.8009179575445,,,
801.971167990585,99.53471026965,800.182406590174,99.7860011474469,,,
802.347749338041,99.5094664371773,801.123859958811,99.7676419965577,,,
802.630185348632,99.4888123924269,802.018240659017,99.7446930579461,,,
802.912621359223,99.4635685599541,802.912621359223,99.7183017785427,,,
803.242130038247,99.4348823866896,803.665784054134,99.69305794607,,,
803.524566048838,99.4073436603557,804.371874080612,99.6678141135972,,,
803.759929390997,99.390131956397,804.936746101795,99.6425702811245,,,
803.948220064725,99.3637406769937,805.501618122977,99.6150315547906,,,
804.230656075316,99.3419391853127,805.972344807296,99.5909351692484,,,
804.466019417476,99.3121055651176,806.443071491615,99.5645438898451,,,
804.654310091203,99.2868617326449,806.866725507502,99.5381526104418,,,
804.889673433363,99.2547332185886,807.196234186525,99.5106138841079,,,
805.07796410709,99.2329317269076,807.525742865549,99.4842226047045,,,
