camera position (mm),trans ratio (incident 6530.9047 mV)
0,0.189866496725514
8,0.100445501493498
12,0.0992205563533331
15,0.0875835775217694
19,0.0790089615406171
22,0.0771715438303702
28,0.0741091809799587
30,0.0474666241813785
34,0.0293986833639506
40,0.0195991222426337
