d (mm),trans ratio (incident 700 mV),H-rev (on rotational mount),cam pos (mm)
0,0.2,0,0
0.0409367018097853,0.145714285714286,2,
0.0818830189810923,0.0785714285714286,4,
0.122848569521431,0.0785714285714286,6,
0.163842976727926,0.0714285714285714,8,
0.204875871826193,0.0685714285714286,10,
0.238819810478047,0.0757142857142857,11.6527247483513,21
0.346028342504823,0.0757142857142857,16.8592502603263,30
0.465802776699245,0.0628571428571429,22.6442786069652,40
0.586493491559975,0.0471428571428571,28.4293069536041,50
0.635079545292268,0.0371428571428571,30.7433182922596,54
0.782099236958363,0.0328571428571429,37.6853523082263,66
