camera position (mm),trans ratio (incident 6530.9047 mV)
0,0.189866496725514
7,0.124331931726708
10,0.127088058292078
12,0.113307425465226
15,0.0995267926383743
20,0.0765590712602879
26,0.0796214341106994
30,0.0759465986902056
35,0.0722717632697118
41,0.048385333036502
53,0.0293986833639506
63,0.0194460041001131
72,0.0094933248362757
