Format,2.0E,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4929,
Trigger Level,0.000E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-02,
Vertical Position,-3.080E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-04,
Horizontal Position,1.400E-05,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-07,
Horizontal Old Scale,2.000E-04,
Horizontal Old Position,1.400E-05,
Firmware,V1.26,
Time,24-Aug-19 04:13:39,
Mode,Detail,
Waveform Data,
-9.859999e-04,1.48e-01,
-9.857999e-04,1.48e-01,
-9.855999e-04,1.46e-01,
-9.853999e-04,1.48e-01,
-9.851999e-04,1.42e-01,
-9.849999e-04,1.48e-01,
-9.847999e-04,1.40e-01,
-9.845999e-04,1.46e-01,
-9.843999e-04,1.42e-01,
-9.841999e-04,1.44e-01,
-9.839999e-04,1.46e-01,
-9.837999e-04,1.44e-01,
-9.835999e-04,1.42e-01,
-9.833999e-04,1.44e-01,
-9.831999e-04,1.44e-01,
-9.829999e-04,1.46e-01,
-9.827999e-04,1.46e-01,
-9.825999e-04,1.42e-01,
-9.823999e-04,1.46e-01,
-9.821999e-04,1.48e-01,
-9.819999e-04,1.44e-01,
-9.817999e-04,1.52e-01,
-9.815999e-04,1.44e-01,
-9.813999e-04,1.46e-01,
-9.811999e-04,1.40e-01,
-9.809999e-04,1.50e-01,
-9.807999e-04,1.48e-01,
-9.805999e-04,1.48e-01,
-9.803999e-04,1.50e-01,
-9.801999e-04,1.44e-01,
-9.799999e-04,1.48e-01,
-9.797999e-04,1.48e-01,
-9.795999e-04,1.50e-01,
-9.793999e-04,1.44e-01,
-9.791999e-04,1.46e-01,
-9.789999e-04,1.46e-01,
-9.787999e-04,1.38e-01,
-9.785999e-04,1.48e-01,
-9.783999e-04,1.46e-01,
-9.781999e-04,1.40e-01,
-9.779999e-04,1.52e-01,
-9.777999e-04,1.46e-01,
-9.775999e-04,1.44e-01,
-9.773999e-04,1.46e-01,
-9.771999e-04,1.44e-01,
-9.769999e-04,1.48e-01,
-9.767999e-04,1.40e-01,
-9.765999e-04,1.48e-01,
-9.763999e-04,1.44e-01,
-9.761999e-04,1.44e-01,
-9.759999e-04,1.44e-01,
-9.757999e-04,1.48e-01,
-9.755999e-04,1.44e-01,
-9.753999e-04,1.56e-01,
-9.751999e-04,1.50e-01,
-9.749999e-04,1.42e-01,
-9.747999e-04,1.40e-01,
-9.745999e-04,1.42e-01,
-9.743999e-04,1.50e-01,
-9.741999e-04,1.50e-01,
-9.739999e-04,1.42e-01,
-9.737999e-04,1.44e-01,
-9.735999e-04,1.42e-01,
-9.733999e-04,1.42e-01,
-9.731999e-04,1.44e-01,
-9.729999e-04,1.48e-01,
-9.727999e-04,1.50e-01,
-9.725999e-04,1.44e-01,
-9.723999e-04,1.40e-01,
-9.721999e-04,1.48e-01,
-9.719999e-04,1.50e-01,
-9.717999e-04,1.48e-01,
-9.715999e-04,1.46e-01,
-9.713999e-04,1.40e-01,
-9.711999e-04,1.42e-01,
-9.709999e-04,1.42e-01,
-9.707999e-04,1.46e-01,
-9.705999e-04,1.40e-01,
-9.703999e-04,1.46e-01,
-9.701999e-04,1.46e-01,
-9.699999e-04,1.38e-01,
-9.697999e-04,1.50e-01,
-9.695999e-04,1.46e-01,
-9.693999e-04,1.44e-01,
-9.691999e-04,1.44e-01,
-9.689999e-04,1.46e-01,
-9.687999e-04,1.48e-01,
-9.685999e-04,1.46e-01,
-9.683999e-04,1.46e-01,
-9.681999e-04,1.44e-01,
-9.679999e-04,1.44e-01,
-9.677999e-04,1.42e-01,
-9.675999e-04,1.42e-01,
-9.673999e-04,1.48e-01,
-9.671999e-04,1.46e-01,
-9.669999e-04,1.42e-01,
-9.667999e-04,1.48e-01,
-9.665999e-04,1.50e-01,
-9.663999e-04,1.48e-01,
-9.661999e-04,1.48e-01,
-9.659999e-04,1.48e-01,
-9.657999e-04,1.54e-01,
-9.655999e-04,1.48e-01,
-9.653999e-04,1.52e-01,
-9.651999e-04,1.50e-01,
-9.649999e-04,1.44e-01,
-9.647999e-04,1.44e-01,
-9.645999e-04,1.50e-01,
-9.643999e-04,1.48e-01,
-9.641999e-04,1.50e-01,
-9.639999e-04,1.46e-01,
-9.637999e-04,1.50e-01,
-9.635999e-04,1.50e-01,
-9.633999e-04,1.48e-01,
-9.631999e-04,1.50e-01,
-9.629999e-04,1.48e-01,
-9.627999e-04,1.38e-01,
-9.625999e-04,1.46e-01,
-9.623999e-04,1.48e-01,
-9.621999e-04,1.50e-01,
-9.619999e-04,1.46e-01,
-9.617999e-04,1.48e-01,
-9.615999e-04,1.50e-01,
-9.613999e-04,1.44e-01,
-9.611999e-04,1.46e-01,
-9.609999e-04,1.50e-01,
-9.607999e-04,1.46e-01,
-9.605999e-04,1.44e-01,
-9.603999e-04,1.42e-01,
-9.601999e-04,1.50e-01,
-9.599999e-04,1.48e-01,
-9.597999e-04,1.48e-01,
-9.595999e-04,1.44e-01,
-9.593999e-04,1.44e-01,
-9.591999e-04,1.44e-01,
-9.589999e-04,1.48e-01,
-9.587999e-04,1.46e-01,
-9.585999e-04,1.52e-01,
-9.583999e-04,1.50e-01,
-9.581999e-04,1.42e-01,
-9.579999e-04,1.54e-01,
-9.577999e-04,1.48e-01,
-9.575999e-04,1.46e-01,
-9.573999e-04,1.52e-01,
-9.571999e-04,1.42e-01,
-9.569999e-04,1.44e-01,
-9.567999e-04,1.46e-01,
-9.565999e-04,1.48e-01,
-9.563999e-04,1.46e-01,
-9.561999e-04,1.40e-01,
-9.559999e-04,1.44e-01,
-9.557999e-04,1.46e-01,
-9.555999e-04,1.50e-01,
-9.553999e-04,1.50e-01,
-9.551999e-04,1.46e-01,
-9.549999e-04,1.52e-01,
-9.547999e-04,1.42e-01,
-9.545999e-04,1.54e-01,
-9.543999e-04,1.50e-01,
-9.541999e-04,1.42e-01,
-9.539999e-04,1.50e-01,
-9.537999e-04,1.40e-01,
-9.535999e-04,1.44e-01,
-9.533999e-04,1.44e-01,
-9.531999e-04,1.48e-01,
-9.529999e-04,1.48e-01,
-9.527999e-04,1.52e-01,
-9.525999e-04,1.44e-01,
-9.523999e-04,1.44e-01,
-9.521999e-04,1.42e-01,
-9.519999e-04,1.46e-01,
-9.517999e-04,1.44e-01,
-9.515999e-04,1.44e-01,
-9.513999e-04,1.48e-01,
-9.511999e-04,1.48e-01,
-9.509999e-04,1.44e-01,
-9.507999e-04,1.44e-01,
-9.505999e-04,1.44e-01,
-9.503999e-04,1.44e-01,
-9.501999e-04,1.54e-01,
-9.499999e-04,1.42e-01,
-9.497999e-04,1.46e-01,
-9.495999e-04,1.42e-01,
-9.493999e-04,1.40e-01,
-9.491999e-04,1.48e-01,
-9.489999e-04,1.48e-01,
-9.487999e-04,1.50e-01,
-9.485999e-04,1.50e-01,
-9.483999e-04,1.50e-01,
-9.481999e-04,1.46e-01,
-9.479999e-04,1.46e-01,
-9.477999e-04,1.44e-01,
-9.475999e-04,1.52e-01,
-9.473999e-04,1.50e-01,
-9.471999e-04,1.50e-01,
-9.469999e-04,1.40e-01,
-9.467999e-04,1.42e-01,
-9.465999e-04,1.46e-01,
-9.463999e-04,1.50e-01,
-9.461999e-04,1.42e-01,
-9.459999e-04,1.50e-01,
-9.457999e-04,1.44e-01,
-9.455999e-04,1.48e-01,
-9.453999e-04,1.42e-01,
-9.451999e-04,1.40e-01,
-9.449999e-04,1.46e-01,
-9.447999e-04,1.46e-01,
-9.445999e-04,1.46e-01,
-9.443999e-04,1.46e-01,
-9.441999e-04,1.46e-01,
